param,corn,soy,mis,switch,sorghum,cane,fallow,CRP
fixed_cost ($/ha),358.15,350.74,85.10607878,252000,2652.78,2652.78,0,0
viable_cost ($/t),53.09439884,90.75640535,25.94695763,172000,17.2,17.2,0,0
initial_cost ($/ha),0,0,2184.585694,333000,0,0,0,0
