# ID,loc_ID,community_ID,tech_type,capacity (MWh),IRR_min,co-oper
0,60,2,6,860000,0.15,0
1,61,2,6,410000,0.15,0
2,62,2,6,260000,0.15,0
3,63,2,6,50000,0.15,0
