FID,farmer_ID,ORIG_FID,X,Y
0,0.000000000000000,0,363.091081868000003,4430.594983490000232
1,1.000000000000000,1,274.048246426999981,4438.100872099999833
2,2.000000000000000,2,306.264387689999978,4385.867446410000412
3,3.000000000000000,3,300.253341168000020,4434.716285329999664
4,4.000000000000000,4,311.064965813000015,4437.633153149999998
5,5.000000000000000,5,240.720532934000005,4434.262224750000314
6,6.000000000000000,6,357.357447700000023,4466.080582059999870
7,7.000000000000000,7,262.671119208999983,4412.260215020000032
8,8.000000000000000,8,331.233864367000024,4383.492403180000110
9,9.000000000000000,9,312.303832852000028,4358.589646800000082
10,10.000000000000000,10,368.133556425999984,4440.421416830000453
11,11.000000000000000,11,304.553947746999995,4474.026863250000133
12,12.000000000000000,12,289.357851883000023,4453.044761430000108
13,13.000000000000000,13,260.307932377999975,4445.966797570000381
14,14.000000000000000,14,306.156971628999997,4478.594099470000401
15,15.000000000000000,15,335.715087088000018,4418.868086380000022
16,16.000000000000000,16,386.433569381999973,4458.142691070000183
17,17.000000000000000,17,251.472497427000008,4398.224139169999944
18,18.000000000000000,18,318.919881562000000,4481.374041940000097
19,19.000000000000000,19,312.833514223999998,4420.735238979999849
20,20.000000000000000,20,303.155378061000022,4420.862897840000187
21,21.000000000000000,21,233.539845351999986,4447.662212870000076
22,22.000000000000000,22,328.526486227000021,4371.388212910000220
23,23.000000000000000,23,292.468933492000019,4386.427640140000221
24,24.000000000000000,24,324.715624228000024,4484.192166240000006
25,25.000000000000000,25,339.798872019999976,4479.524877210000341
26,26.000000000000000,26,363.891800366999973,4453.599510910000390
27,27.000000000000000,27,355.729646933000026,4424.989089509999758
28,28.000000000000000,28,359.672315507999997,4460.578796069999953
29,29.000000000000000,29,377.279875138000023,4473.401607310000145
30,30.000000000000000,30,267.075454272999991,4455.222063920000437
31,31.000000000000000,31,332.515376920999984,4385.752303459999894
32,32.000000000000000,32,329.460169737000001,4448.960649079999712
33,33.000000000000000,33,342.418134318000000,4402.868069459999788
34,34.000000000000000,34,267.841104803999997,4453.641192680000131
35,35.000000000000000,35,310.651416432000019,4380.626913369999784
36,36.000000000000000,36,320.988350921999995,4468.977808880000339
37,37.000000000000000,37,314.004318232999992,4477.158411329999581
38,38.000000000000000,38,380.928442850000010,4443.981849499999953
39,39.000000000000000,39,337.220241456999986,4462.473130119999951
40,40.000000000000000,40,257.486274338999976,4415.159127820000322
41,41.000000000000000,41,394.509554853999987,4465.283406769999601
42,42.000000000000000,42,307.800075556000024,4370.269239559999733
43,43.000000000000000,43,316.564681117000021,4447.520365669999592
44,44.000000000000000,44,325.679272362000006,4366.663082109999777
45,45.000000000000000,45,245.712554318000002,4446.875939749999816
46,46.000000000000000,46,268.999149031999991,4378.342061549999926
47,47.000000000000000,47,299.863466854000023,4449.699674139999843
48,48.000000000000000,48,377.028516593999996,4464.611539280000216
49,49.000000000000000,49,301.760340127000006,4415.979248290000214
50,50.000000000000000,50,351.724212159999979,4419.928928590000396
51,51.000000000000000,51,368.611125559000016,4458.675955460000296
52,52.000000000000000,52,288.966136560999985,4467.395685370000137
53,53.000000000000000,53,322.410250920000010,4480.063041749999684
54,54.000000000000000,54,342.660949685999981,4423.029918029999862
55,55.000000000000000,55,251.534303534000003,4441.290325449999727
56,56.000000000000000,56,259.811962875000006,4376.170199500000308
57,57.000000000000000,57,312.007783883000002,4439.425663119999626
58,58.000000000000000,58,262.906524176999994,4439.282322750000276
59,59.000000000000000,59,253.425343252999994,4420.644396110000343
60,60.000000000000000,60,327.904483831999983,4469.997515230000317
61,61.000000000000000,61,313.686570960999973,4415.188341089999994
62,62.000000000000000,62,338.263937431999977,4431.560994399999799
63,63.000000000000000,63,295.501845041000024,4459.666103550000116
64,64.000000000000000,64,284.533180306000020,4406.702144349999799
65,65.000000000000000,65,268.573972906999984,4412.999884179999754
66,66.000000000000000,66,304.674303540999972,4450.887403390000145
67,67.000000000000000,67,369.638971960999982,4429.873335080000288
68,68.000000000000000,68,260.338450744999989,4392.199238619999960
69,69.000000000000000,69,302.998539381000001,4374.553673800000070
70,70.000000000000000,70,357.621922144999985,4464.686115579999750
71,71.000000000000000,71,387.968854007999994,4451.349378840000099
72,72.000000000000000,72,301.044597404000001,4395.051980639999783
