FID,FID_1,farmer_ID,commu_ID,Distance
0,2,2.000000000000000,0,0.000000000000000
1,8,8.000000000000000,0,5108.004959830000189
2,9,9.000000000000000,0,0.000000000000000
3,22,22.000000000000000,0,2709.268350620000092
4,23,23.000000000000000,0,0.000000000000000
5,35,35.000000000000000,0,0.000000000000000
6,42,42.000000000000000,0,0.000000000000000
7,44,44.000000000000000,0,0.000000000000000
8,69,69.000000000000000,0,0.000000000000000
9,72,72.000000000000000,0,0.000000000000000
10,89,89.000000000000000,0,0.000000000000000
11,90,90.000000000000000,0,0.000000000000000
12,95,95.000000000000000,0,0.000000000000000
13,100,100.000000000000000,0,1173.615713279999909
14,103,103.000000000000000,0,0.000000000000000
15,106,106.000000000000000,0,0.000000000000000
16,110,110.000000000000000,0,0.000000000000000
17,114,114.000000000000000,0,2455.314845849999983
18,120,120.000000000000000,0,0.000000000000000
19,121,121.000000000000000,0,0.000000000000000
20,125,125.000000000000000,0,0.000000000000000
21,131,131.000000000000000,0,5627.125170000000253
22,134,134.000000000000000,0,0.000000000000000
23,138,138.000000000000000,0,0.000000000000000
24,139,139.000000000000000,0,0.000000000000000
25,140,140.000000000000000,0,0.000000000000000
26,147,147.000000000000000,0,0.000000000000000
27,148,148.000000000000000,0,0.000000000000000
28,155,155.000000000000000,0,6425.574908300000061
29,169,169.000000000000000,0,0.000000000000000
30,173,173.000000000000000,0,0.000000000000000
31,181,181.000000000000000,0,0.000000000000000
32,193,193.000000000000000,0,4261.140701710000030
33,216,216.000000000000000,0,0.000000000000000
34,220,220.000000000000000,0,0.000000000000000
35,226,226.000000000000000,0,0.000000000000000
36,228,228.000000000000000,0,0.000000000000000
37,232,232.000000000000000,0,0.000000000000000
38,235,235.000000000000000,0,0.000000000000000
39,249,249.000000000000000,0,0.000000000000000
40,252,252.000000000000000,0,0.000000000000000
41,254,254.000000000000000,0,0.000000000000000
42,255,255.000000000000000,0,0.000000000000000
43,273,273.000000000000000,0,0.000000000000000
44,276,276.000000000000000,0,0.000000000000000
45,282,282.000000000000000,0,0.000000000000000
46,293,293.000000000000000,0,0.000000000000000
47,297,297.000000000000000,0,0.000000000000000
48,299,299.000000000000000,0,0.000000000000000
49,307,307.000000000000000,0,0.000000000000000
50,308,308.000000000000000,0,0.000000000000000
51,315,315.000000000000000,0,2808.406749279999985
52,317,317.000000000000000,0,0.000000000000000
53,322,322.000000000000000,0,0.000000000000000
54,325,325.000000000000000,0,0.000000000000000
55,326,326.000000000000000,0,0.000000000000000
56,330,330.000000000000000,0,0.000000000000000
57,354,354.000000000000000,0,5079.551892530000259
58,357,357.000000000000000,0,0.000000000000000
59,381,381.000000000000000,0,0.000000000000000
60,384,384.000000000000000,0,0.000000000000000
61,390,390.000000000000000,0,0.000000000000000
62,399,399.000000000000000,0,0.000000000000000
63,401,401.000000000000000,0,2413.831027230000018
64,407,407.000000000000000,0,0.000000000000000
65,414,414.000000000000000,0,0.000000000000000
66,416,416.000000000000000,0,72.570736049999994
67,423,423.000000000000000,0,0.000000000000000
68,426,426.000000000000000,0,0.000000000000000
69,430,430.000000000000000,0,0.000000000000000
70,445,445.000000000000000,0,0.000000000000000
71,453,453.000000000000000,0,0.000000000000000
72,458,458.000000000000000,0,2069.564030900000034
73,464,464.000000000000000,0,1964.909944900000028
74,465,465.000000000000000,0,0.000000000000000
75,474,474.000000000000000,0,0.000000000000000
76,476,476.000000000000000,0,0.000000000000000
77,478,478.000000000000000,0,0.000000000000000
78,482,482.000000000000000,0,0.000000000000000
79,485,485.000000000000000,0,0.000000000000000
80,489,489.000000000000000,0,0.000000000000000
81,498,498.000000000000000,0,0.000000000000000
82,503,503.000000000000000,0,0.000000000000000
83,513,513.000000000000000,0,0.000000000000000
84,516,516.000000000000000,0,0.000000000000000
85,521,521.000000000000000,0,0.000000000000000
86,533,533.000000000000000,0,0.000000000000000
87,542,542.000000000000000,0,0.000000000000000
88,543,543.000000000000000,0,0.000000000000000
89,546,546.000000000000000,0,0.000000000000000
90,548,548.000000000000000,0,0.000000000000000
91,562,562.000000000000000,0,0.000000000000000
92,573,573.000000000000000,0,0.000000000000000
93,576,576.000000000000000,0,0.000000000000000
94,580,580.000000000000000,0,710.429267249999953
95,583,583.000000000000000,0,921.352122819999977
96,584,584.000000000000000,0,0.000000000000000
97,595,595.000000000000000,0,10160.677182699999321
98,596,596.000000000000000,0,531.392683189999957
99,597,597.000000000000000,0,0.000000000000000
100,604,604.000000000000000,0,2408.372787679999874
101,605,605.000000000000000,0,0.000000000000000
102,612,612.000000000000000,0,0.000000000000000
103,613,613.000000000000000,0,0.000000000000000
104,623,623.000000000000000,0,0.000000000000000
105,637,637.000000000000000,0,4412.998077129999729
106,640,640.000000000000000,0,0.000000000000000
107,644,644.000000000000000,0,0.000000000000000
108,645,645.000000000000000,0,1355.187276149999889
109,664,664.000000000000000,0,0.000000000000000
110,665,665.000000000000000,0,0.000000000000000
111,668,668.000000000000000,0,0.000000000000000
112,676,676.000000000000000,0,0.000000000000000
113,679,679.000000000000000,0,0.000000000000000
114,684,684.000000000000000,0,0.000000000000000
115,703,703.000000000000000,0,0.000000000000000
116,716,716.000000000000000,0,0.000000000000000
117,724,724.000000000000000,0,0.000000000000000
118,729,729.000000000000000,0,0.000000000000000
119,730,730.000000000000000,0,0.000000000000000
120,731,731.000000000000000,0,0.000000000000000
121,738,738.000000000000000,0,0.000000000000000
122,741,741.000000000000000,0,0.000000000000000
123,742,742.000000000000000,0,0.000000000000000
124,745,745.000000000000000,0,0.000000000000000
