ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,11.128718966319212,10.812506130149211,27.69548181783721,13.88371496322263,0,0
1,10.870188188151147,10.137455963815775,27.102658008135162,13.414457847609418,0,0
2,10.88319736571544,10.087483271027764,27.05600995900063,13.331331767589614,0,0
3,10.903003469181883,10.130045973958962,27.146837948703265,13.329347622544743,0,0
4,10.24746151959103,9.484092642190372,27.35593744086629,13.14206709260652,0,0
5,10.24746151959103,9.484092642190372,27.35593744086629,13.14206709260652,0,0
6,10.405196741577598,9.277275241340957,26.51629730440282,12.949819342837296,0,0
7,10.273514982709422,9.158299787525703,26.59911224947357,12.910867621026506,0,0
8,10.297592080741003,9.214949467206793,26.66828241764453,12.93684049649635,0,0
9,10.254057435327427,9.219416325350467,26.781282308506807,12.957415885437827,0,0
10,10.047407975409202,9.131855578441591,27.082530009168906,12.982930584748676,0,0
11,9.937970517458346,9.178180158102695,27.43788548977431,13.060153307510646,0,0
12,10.381256200879179,9.465685004256402,26.99372973819443,13.078058826729098,0,0
13,10.021567754739644,9.237659919469099,27.36684350193913,13.066367268753671,0,0
14,9.874093542310767,9.196400556337037,27.62667163926383,13.099165912642064,0,0
15,9.714879471824213,9.129646553207316,27.86026419366893,13.11931017625708,0,0
16,9.724773345427721,8.732632077946487,26.998281495130215,12.842333365503832,0,0
17,9.817769217662807,8.725334640299037,26.764057017757352,12.798752812177502,0,0
18,9.63952712921217,8.739321395789986,27.21298726605547,12.882282206052984,0,0
19,9.476784352800736,8.752091911673029,27.622880101458048,12.958548174374073,0,0
20,9.780669916499075,8.662206160108912,26.71798676690605,12.770748574271305,0,0
21,9.31618579397381,8.368456072099676,27.19030894476929,12.76146904471918,0,0
22,9.4249443789013,8.59766458415736,27.418621708466183,12.87390578206861,0,0
23,9.20769060969952,8.376969749355037,27.463570835037675,12.812313023599904,0,0
24,11.411318070939224,9.644366289568817,29.34864973241735,14.763335382129247,0,0
25,9.652717144117043,9.244590603720848,28.249347248251553,13.224091310535865,0,0
26,9.307413008057038,8.844630194490694,28.216880700436782,13.092388532512107,0,0
27,9.4091816662089,8.361158634452227,26.95608446739643,12.717888491392856,0,0
28,9.179494704838687,8.577301346397075,27.95311830365046,12.961696567308072,0,0
29,9.873665788734165,8.654908722461464,26.483762289533185,12.727168020944974,0,0
30,9.211894688525883,8.673818426094359,28.08077979927025,13.014598062498965,0,0
31,9.612074082327336,8.444297078462766,26.654334421165906,12.690892305485544,0,0
32,9.34223748125013,8.564530830514032,27.543225468247872,12.885430598986988,0,0
33,8.835707120759167,8.406159499944836,28.400468744529142,12.986635236905212,0,0
34,9.10249338329357,8.253145268190613,27.449505159126343,12.770831398896336,0,0
35,9.334983063881351,8.234901674071981,26.86394396569404,12.661880015580492,0,0
36,9.124588611069028,7.987252711742633,26.835812613871326,12.578916766173196,0,0
37,11.511164274436045,9.346431395034587,29.52100845097884,14.987698601837721,0,0
38,8.873796899224468,7.808813427642957,27.048938577377434,12.560274882444064,0,0
39,8.68566093716966,8.21981465839408,28.35985152421445,12.920781087072625,0,0
40,8.632403822333599,7.563596944529262,27.098882051345768,12.491838484145505,0,0
41,8.511707283888166,7.440988702972414,27.12385378832992,12.457620284996224,0,0
42,8.62300518738003,7.630374143543272,27.26206454088325,12.541632998714876,0,0
43,11.455922688549526,9.213800962516537,29.444193689459905,14.968649621874649,0,0
44,10.550518250429773,9.220720772956891,29.402746628744264,14.340598814435886,0,0
45,8.315821665813939,7.852598053527656,28.454285441614623,12.82175820240202,0,0
46,8.650458234265075,7.925398460870737,27.820717385772852,12.733022899282393,0,0
47,8.747164309101743,7.769220595000656,27.26324939644772,12.585576041923613,0,0
48,8.751912877958471,7.858001544110674,27.439628667816,12.644627282843592,0,0
49,8.232719667182778,7.462881015914774,27.826527220448828,12.58836194497526,0,0
50,8.232719667182778,7.462881015914774,27.826527220448828,12.58836194497526,0,0
51,8.534461013296465,7.769401619806883,27.764097877988164,12.67390744284841,0,0
52,8.38111687183864,7.7153949366759145,28.010808223853157,12.700378896600109,0,0
53,8.139723794947688,7.4701784535622275,28.060751697821694,12.631942498301587,0,0
54,9.77091100642353,8.472446981354336,29.63938814859643,14.141911594939954,0,0
55,8.830004362992787,8.19683388806,27.971680783817078,12.845127578662634,0,0
56,8.307413508161758,7.258900700049497,27.219867513149207,12.417188124604008,0,0
57,10.519791167126233,8.902465344751256,29.560695225003,14.47864021295579,0,0
58,9.346784051840373,8.286743642751155,29.65418809833543,13.921988960371573,0,0
59,8.126466658282597,7.6297139874311055,28.42896722497447,12.747091277935462,0,0
60,10.524528511591537,8.681394722084104,29.66901876266173,14.591685240802526,0,0
61,10.89550793036097,8.886894073704836,29.156588635626484,14.602003216078375,0,0
62,11.047381252853286,8.99970271610291,29.54999190736706,14.799253813981064,0,0
63,7.974507550135303,7.5822025882603485,28.686140207858863,12.777452669310927,0,0
64,8.089622362693868,7.219385449467013,27.648827681451202,12.480345598765636,0,0
65,8.216889741901388,7.9429109000895775,28.87784900107385,12.924858114357198,0,0
66,9.300184952565603,8.092713667816641,29.74517694377399,13.985535565732341,0,0
67,10.731071469099755,9.02265531901075,28.154625344507927,14.109294167166741,0,0
68,8.19229994383221,8.109519468091703,29.35686516507177,13.080974798052688,0,0
69,7.821658647328429,7.1979586288835335,28.23405034472231,12.57674182687899,0,0
70,7.800883147670671,7.100529369480307,28.077110789430776,12.518392762522287,0,0
71,7.850801273005165,6.964105130152749,27.51350511592778,12.354417370390651,0,0
72,8.014201335459228,7.12753345956421,26.763813161635536,12.176295315543324,0,0
73,7.805066710680157,6.9348879904133085,27.638368397387747,12.378056002099767,0,0
74,7.803356616071715,7.001275750665222,27.861615114795946,12.449148559833985,0,0
75,8.070941524857416,7.630258489022792,29.749075390918414,13.309860996492699,0,0
76,7.678999126404652,7.14971748594803,28.467800879869394,12.602745162921824,0,0
77,7.550091435826173,6.9220900853806295,28.290236752936746,12.499750878793126,0,0
78,9.784040821092336,8.188746195614733,29.43875769424116,14.177690345568992,0,0
79,9.10464754866392,8.25983667913292,29.62191976255021,13.756469395334141,0,0
80,8.838372612151273,7.597164847878751,29.912271762242746,13.894258781469455,0,0
81,7.435948634945495,7.079636220809605,28.891621831769122,12.655369089900566,0,0
82,9.144043975352563,7.828528069901986,29.816252134145113,13.991685711454744,0,0
83,11.666139707287154,9.811195015246613,27.627632192476767,14.244861727431777,0,0
84,9.497210307649793,8.02900235662297,29.53026614426605,14.067679446893342,0,0
85,7.229552819804781,6.749123879516055,28.6790310744727,12.51379441005862,0,0
86,10.979066246958503,9.595184513335056,26.285085474733872,13.458795053873244,0,0
87,7.1365569475696935,6.756421317163505,28.91325555184556,12.557374963384945,0,0
88,7.808756377748836,7.092818605994482,26.15156259184675,11.917208153968852,0,0
89,10.786419657240273,9.287869995488721,27.13961918563333,13.717705442139573,0,0
90,7.262091245685984,6.654727951584407,27.67025538563369,12.205736099850741,0,0
91,7.059060387373807,6.762502515203044,29.10844261632289,12.593692091156873,0,0
92,10.511822854084985,9.203670312751884,26.81867428968398,13.452348768618322,0,0
93,10.442994975167213,9.07913091709676,27.188102706556073,13.571284625125775,0,0
94,9.948148959474429,8.596405168262603,28.04932874459986,13.686522692429113,0,0
95,8.143520330448775,7.159600891042298,29.97967354001205,13.592755699253216,0,0
96,7.129961031834023,7.0210976340040565,29.487910684204696,12.742026170553775,0,0
97,7.613518830583619,6.9363576579909525,26.69395287534183,12.020253848926618,0,0
98,7.613518830583619,6.9363576579909525,26.69395287534183,12.020253848926618,0,0
99,7.130456270484324,6.69086035775756,28.789110475203305,12.514843874369967,0,0
100,11.743187580032165,9.864634342854648,27.732596387426486,14.299696638495831,0,0
101,9.813035017918436,8.37443460406043,28.676643168816717,13.87964582341404,0,0
102,7.334869999791898,6.978297910289857,29.94443782625844,13.094723978082984,0,0
103,10.082497331961028,8.916874096018876,26.991694851052703,13.315641503573012,0,0
104,10.896758677263646,9.611320398502414,26.00893614960547,13.3050780418619,0,0
105,8.484795310459036,7.496058165371236,29.17318441108528,13.440731062721431,0,0
106,8.326741338328487,7.354502820323559,29.393339272688127,13.454898497845704,0,0
107,7.751546108569848,7.02762515735008,29.998409328039738,13.378027185732453,0,0
108,7.339187135944682,6.770647552600073,26.963159078643017,12.011911703396855,0,0
109,8.649767806107066,7.6707653449786415,28.826153779622988,13.37761503696867,0,0
110,11.406482286315136,9.925878241577152,26.561758746521456,13.664929965011234,0,0
111,6.995150092121338,6.477213502329588,28.083141335818,12.24451633484141,0,0
112,7.591497254348153,7.054049617726,25.522841419709746,11.649043122245304,0,0
113,7.2984744121656115,6.828247399356347,26.25473681268693,11.778177311603446,0,0
114,10.704395810660786,9.733940245129775,25.03297996747355,12.802654801311931,0,0
115,8.83549587230775,7.944928028265448,28.098495838581915,13.167653239330365,0,0
116,8.83549587230775,7.944928028265448,28.098495838581915,13.167653239330365,0,0
117,6.656209556274673,6.270282963665418,28.65591215728741,12.309429431133747,0,0
118,6.752508709616076,6.372884136657483,27.935729243317642,12.117366317550434,0,0
119,11.169635907532523,9.820560500583731,26.09666998945116,13.417339825973432,0,0
120,7.846736860590353,7.031147430315897,29.616567199735503,13.312954457514818,0,0
121,6.420071971356398,6.115283929704463,28.77718312068161,12.267317291992178,0,0
122,9.359363951148227,8.54619358725579,26.794324495302625,12.883886096365915,0,0
123,7.021870488953271,6.644085902410053,29.217844939508524,12.75027937328335,0,0
124,7.310304339143808,6.794589254266647,29.285038295738374,12.917738865547518,0,0
125,6.432335007555307,6.150991285453148,29.212436188331914,12.408597555124375,0,0
126,8.973032511390825,8.125013836261882,27.659415432077218,13.053298209573985,0,0
127,6.2649388518413565,6.064620627651324,29.493051232452174,12.44034535511741,0,0
128,7.3937618856636,7.0309267242578475,24.839881219221702,11.370573521025374,0,0
129,11.279504956102409,9.955719733827053,26.103920109652947,13.416506786723001,0,0
130,10.915681247107425,9.880243485083458,25.18099271571537,12.92049346939764,0,0
131,10.63981375311534,9.77354227992089,24.750769887514554,12.64582433937944,0,0
132,10.279094548292806,9.525360587315989,24.83714549285665,12.522750501549742,0,0
133,11.400779525767188,9.980878483408203,26.411562574298248,13.581844559164493,0,0
134,9.495743211157519,8.850735696637036,25.81104403101265,12.54463908654313,0,0
