ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,7.398771071666824,7.360328723884939,20.215751133471013,9.755655137023425,0,0
1,7.775951027705284,7.572393947185245,20.13055133569232,9.677286010142302,0,0
2,7.876623914505657,7.644895001553706,20.24067829456939,9.675515629515402,0,0
3,7.929412088640348,7.694500975486914,20.447781177391512,9.713759395614037,0,0
4,8.310383365336993,7.955724577116637,21.487187263926934,10.05461293779544,0,0
5,8.310383365336993,7.955724577116637,21.487187263926934,10.05461293779544,0,0
6,8.148983249456647,7.767097654938924,20.079658805148533,9.66526293069416,0,0
7,8.249682486502254,7.8415841859853455,20.3837511516834,9.753578484696305,0,0
8,8.248543215801098,7.848808451578876,20.468719029227255,9.77214843160964,0,0
9,8.277739567873915,7.878283936265131,20.674702332388343,9.832440856109393,0,0
10,8.397759983997714,7.982393154441795,21.31146634834105,10.02750587186483,0,0
11,8.471305854441942,8.06321360606657,21.923215748230575,10.2056468395604,0,0
12,8.213721114124148,7.858525075859938,20.822573622930406,9.86242505841222,0,0
13,8.425344862459673,8.02776429969028,21.73687402657897,10.146159639430817,0,0
14,8.51328349150192,8.107943604112059,22.254166924553108,10.302505244419283,0,0
15,8.605830023175754,8.188351130498008,22.7468604863968,10.453365309682919,0,0
16,8.556864326981714,8.072190169221162,21.528133089090748,10.120107187154467,0,0
17,8.497822209147431,8.012398023851116,21.103264411414614,9.994619673825929,0,0
18,8.610986268329848,8.126999635810401,21.917596043627448,10.235137407705693,0,0
19,8.714309974539868,8.231635890208,22.66111622956084,10.45474055603068,0,0
20,8.514262142212543,8.01795125754237,21.077171794228068,9.991363117291217,0,0
21,8.773588161041719,8.225093862109347,22.22131474132669,10.351542874604208,0,0
22,8.730148966762709,8.221046792919207,22.428546477243735,10.396729815016297,0,0
23,8.842470631848402,8.29485136504108,22.71699486528228,10.49794497348753,0,0
24,8.385157365847405,7.200997251312865,25.633687008436645,11.943048337082017,0,0
25,8.657152958512912,8.258818601505956,23.35683975194248,10.62610958834546,0,0
26,8.830378925880302,8.362493944129376,23.669625328838677,10.747269704527607,0,0
27,8.714546043207433,8.165301716739302,21.79644606365056,10.226055361275666,0,0
28,8.881714009404153,8.367879882022137,23.43257573335494,10.695945913084087,0,0
29,8.455220024378258,7.958159112172325,20.652303116551927,9.865875603962674,0,0
30,8.871814639264851,8.374498067827606,23.577931828552927,10.732202626218012,0,0
31,8.596402790371803,8.062300969366262,21.162876249775245,10.032251633307151,0,0
32,8.778390303194135,8.26324362762454,22.689055547421564,10.4763427647591,0,0
33,9.078639103185543,8.53401994652126,24.416469575986838,10.999895026801676,0,0
34,8.895031203923475,8.325888547547017,22.80643252346845,10.533261031527779,0,0
35,8.74742590933772,8.176408184121867,21.74426082927783,10.219542248206347,0,0
36,8.852547053488074,8.238482549133865,21.92313614565053,10.290174364286996,0,0
37,8.476157916453351,7.038442642622735,26.376016013477717,12.342498198415587,0,0
38,8.990430029435256,8.344830468263021,22.482161310606852,10.468635964676217,0,0
39,9.152559784812057,8.57559304149939,24.51522034012668,11.042411821084766,0,0
