ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,10.899093342207903,8.868813449460948,30.71176970606452,13.7397509498303,0,0
1,10.470116527648745,8.844658414445348,28.50181178635765,12.950370558889187,0,0
2,10.571473957626422,8.97257703803516,28.336914366255545,13.020560554063325,0,0
3,10.717954153062344,9.079857266869604,28.54834792303857,13.214511055886094,0,0
4,10.026597054758453,8.645950778578143,27.410734845731092,12.581180557696829,0,0
5,10.026597054758453,8.645950778578143,27.410734845731092,12.581180557696829,0,0
6,9.645841931216983,8.518061007690859,25.880565178456937,11.758353363550544,0,0
7,9.556758212186509,8.467118557123168,25.728725855313467,11.7017818726755,0,0
8,9.641758645034546,8.51280966545965,25.9412468372898,11.825955302843811,0,0
9,9.659462694839878,8.507442094631838,26.096129300582266,11.901571749299624,0,0
10,9.582823166643797,8.415358113964366,26.29216770926675,11.972159989152733,0,0
11,9.670318546598589,8.415612551493867,26.84940806513089,12.244287102674544,0,0
12,9.95597085550013,8.651445426114934,26.90515418511098,12.32482641537956,0,0
13,9.73456472538008,8.46558670037467,26.887785508510927,12.276657765500257,0,0
14,9.709203152942084,8.411097511260824,27.1315243725554,12.380791054189167,0,0
15,9.651133586141027,8.34052516605864,27.286024346507784,12.436968049569035,0,0
16,9.100432046262064,8.132762140138425,25.31411602878307,11.417554836972306,0,0
17,9.07039123404599,8.149504297841286,24.99745354561169,11.26752043049209,0,0
18,9.127969457460146,8.117415162244129,25.60438997169035,11.55508637624592,0,0
19,9.180540878838283,8.088116386264112,26.15854931724037,11.81764658758634,0,0
20,8.991124649156461,8.107901227811922,24.800744860645903,11.160132564426236,0,0
21,8.684914161355994,7.849659404555697,24.76718888533053,11.073296453537095,0,0
22,8.978284750216561,7.99496588127446,25.55978348005361,11.499901946435962,0,0
23,8.719961775608086,7.830126887235688,25.136628449030532,11.248336594430716,0,0
24,13.036410508128636,10.92624703179118,31.79873506404181,15.518393202103221,0,0
25,9.823298977245075,8.387540739170477,28.03608879901268,12.81599370165246,0,0
26,9.3447546488031,8.099533107583088,27.12292345049378,12.291591161770086,0,0
27,8.654873349139924,7.866401562258559,24.45052640215914,10.923262047056882,0,0
28,9.00282274860132,7.9298228607698835,26.201748228685478,11.795551802348953,0,0
29,8.961083836940386,8.124643385514785,24.484082377474518,11.010098157946024,0,0
30,9.129232828989887,7.988041926388425,26.57597687692705,11.994142203067868,0,0
31,8.726208607132635,7.955314583665865,24.244207164586946,10.846789369229,0,0
32,8.950251327223185,7.9591216367499005,25.647588883135448,11.532991591008527,0,0
33,8.840125024472377,7.763158256424237,26.40327838171607,11.848474220351571,0,0
34,8.571442209901086,7.741340027942643,24.84876524015653,11.083572331125948,0,0
35,8.496340179360889,7.783195422199807,24.057109032227856,10.708486314925313,0,0
36,8.1993010479463,7.605621703613365,23.481382614478665,10.378957788315118,0,0
37,13.320333201523802,11.248124498305303,31.72017445142847,15.608630146251672,0,0
38,8.006562511601317,7.455699256970558,23.366250284338303,10.28184579983772,0,0
39,8.614842274893686,7.631373147293119,25.94509502814048,11.588824958187567,0,0
40,7.71953698425857,7.272544819149702,22.896078027645988,10.00232874205411,0,0
41,7.576024220587195,7.180967600239272,22.660991899299844,9.862570213162307,0,0
42,7.813823975256303,7.305776810327775,23.2511179541975,10.184733811360127,0,0
43,13.334238721244512,11.295496076644893,31.57223963726564,15.559611031636743,0,0
44,11.891338638113155,10.03672122387445,30.58247676191881,14.639571721904721,0,0
45,8.186807384897755,7.355246310753388,25.26622518336659,11.182052238719008,0,0
46,8.215584825584111,7.467877388906213,24.61130076130148,10.893030818377365,0,0
47,7.979030935913613,7.406708411889148,23.55517265898339,10.360716457173456,0,0
48,8.100685721470049,7.454710754548825,23.9751023442334,10.578831849521588,0,0
49,7.666146657235452,7.130741127130662,23.61097934881442,10.31267343260315,0,0
50,7.666146657235452,7.130741127130662,23.61097934881442,10.31267343260315,0,0
51,8.024928566413857,7.359684174406754,24.19869466967944,10.662069754832494,0,0
52,7.98321299679425,7.297153407248674,24.39781408867781,10.742224896866839,0,0
53,7.696187469451524,7.1139989694278025,23.927641831985788,10.462707839083363,0,0
54,11.01300009638825,9.4608320443255,29.25021878043261,13.831352678994234,0,0
55,8.552111363621405,7.651196400619535,25.396581329177238,11.32643597915166,0,0
56,7.368265278134714,7.039416232448285,22.38752832757429,9.690441021445164,0,0
57,11.98243680770578,10.195979475377893,30.34723124847033,14.597982941891795,0,0
58,10.438781377638515,9.008038361882132,28.66552825620324,13.39912262257981,0,0
59,7.919472166624487,7.195429964025457,24.7480714073924,10.885476564769835,0,0
60,12.087960297302391,10.34344233777744,30.212401366232328,14.59580553670848,0,0
61,12.718633339455467,10.847210568397978,30.739886452533288,15.014109139990088,0,0
62,12.773819705578404,10.860792363922977,30.98846875509027,15.13611165108275,0,0
63,7.886434275799246,7.136640949927754,24.974778256966605,10.980121353572756,0,0
