ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,11.826969947215073,11.251831308824194,22.15189849691007,12.504969641370517,0,0
1,11.806107391906785,11.376404818371642,21.452452484312293,12.003133994350646,0,0
2,12.066197838975253,11.724649042055178,21.70775794119418,12.177562138031584,0,0
3,12.313410630035488,12.036972761490164,22.108031326744555,12.443680510311761,0,0
4,11.897446136067774,11.660187718742256,21.904180973536924,12.132846852382741,0,0
5,11.897446136067774,11.660187718742256,21.904180973536924,12.132846852382741,0,0
6,11.2678526897311,10.874035547819533,20.157525537699584,11.053144736988372,0,0
7,11.275488250841631,10.914935554115562,20.27332318642418,11.092715273933498,0,0
8,11.377573129726054,11.03515091609063,20.474483910018847,11.22901216165102,0,0
9,11.428938914033287,11.103390295243118,20.67132789892279,11.343336569140007,0,0
10,11.461121900568454,11.173745136388336,21.07761755201298,11.546625137171967,0,0
11,11.640175634556307,11.403189610840325,21.71554486624608,11.92564737642873,0,0
12,11.711189909248295,11.414435859008876,21.24782060562853,11.748110751964653,0,0
13,11.669204908690569,11.424608835344564,21.66091099841812,11.913840260432293,0,0
14,11.729273700864296,11.518829216309626,22.04767356717217,12.121060566210728,0,0
15,11.75530595721628,11.574501510396807,22.363928593771135,12.279756707200427,0,0
16,11.052545124163833,10.739305375147417,20.514648981849735,11.095491282335908,0,0
17,10.95643872630095,10.610817959106873,20.118815742051712,10.867289805819054,0,0
18,11.1406426555382,10.857085506517988,20.877496118331486,11.304675969143148,0,0
19,11.308828851798284,11.081938484588989,21.570204287978168,11.704028553047714,0,0
20,10.87935625323523,10.525155026582324,19.975532989980568,10.764996183557015,0,0
21,10.782263081494806,10.482302612080902,20.446618949019822,10.93813250179758,0,0
22,11.085388357295182,10.824952480113692,21.06799238708845,11.367243269012098,0,0
23,10.894387212334859,10.632204597461566,20.908424395450943,11.204367557733958,0,0
24,8.889240585491395,8.895911368813517,20.33392021078153,10.96289441839966,0,0
25,12.011918609476373,11.888589619325144,23.13051083362041,12.754514712992975,0,0
26,11.622372534561984,11.480255060511846,22.65256004199869,12.351644295750868,0,0
27,10.686156683631916,10.35381519604036,20.050785709221795,10.709931025280728,0,0
28,11.269794228326653,11.081924519096274,21.932022511361236,11.853550639295404,0,0
29,10.783249855372341,10.39666761054178,19.57969975018255,10.536794707040166,0,0
30,11.409444537391044,11.24254077189327,22.245904949417096,12.064041441817546,0,0
31,10.649611929947886,10.278871186096556,19.638973874314747,10.502052454188801,0,0
32,11.101608032066572,10.857071541025276,21.239314341714547,11.454198055390835,0,0
33,11.2788128037864,11.14615426162375,22.49175735464304,12.117173463801365,0,0
34,10.772257732157831,10.503707871092836,20.75380330457519,11.07584747204914,0,0
35,10.531991737500556,10.182489330991386,19.764220205079862,10.505343780756858,0,0
36,10.28773277714602,9.925495878253406,19.454978023327754,10.248303609386712,0,0
37,7.749145789023125,7.760494209770043,19.11358687242764,10.092695686118237,0,0
38,10.200644954743012,9.861238204740507,19.618879626812074,10.283724957376123,0,0
39,11.087609717032164,10.942701887400476,22.22683961501285,11.905376545564305,0,0
40,9.988421460342654,9.647073890682597,19.44158185832595,10.102751944844854,0,0
41,9.88230971314247,9.539991733653638,19.35293297408288,10.012265438579224,0,0
42,10.113557132339873,9.796980531227437,19.782781230295857,10.319146305365235,0,0
43,7.4831156770311695,7.4847971059818255,18.800516136873824,9.861396099025628,0,0
44,9.470467227226452,9.477966317736586,21.209723490854,11.404589220140634,0,0
45,10.777283341920324,10.632162700983779,21.99387906560023,11.652933816477235,0,0
46,10.604587857930431,10.37519485164913,21.021303474312912,11.121769820319836,0,0
47,10.244946147672954,9.933508884890104,19.931990380044134,10.449468809478716,0,0
48,10.395859355269943,10.111791459118088,20.31839079974153,10.698813419334405,0,0
