ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,10.385002639830637,3.7743570284224224,28.377063362597266,14.393624485596304,0,0
1,10.384233989343329,3.9031004206086974,28.99234522511929,14.542937423624366,0,0
2,10.43252678987504,3.939361618643945,29.534806006897877,14.777682415768727,0,0
3,10.481870308588707,3.952199929227495,29.997381440284553,14.99596050545797,0,0
4,10.469274468004985,3.979135196006687,30.298981972238913,15.038299968472414,0,0
5,10.469274468004985,3.979135196006687,30.298981972238913,15.038299968472414,0,0
6,10.305080343012351,4.003713518094518,28.89969602974188,14.345159143331484,0,0
7,10.321672982887415,4.0139685466212685,29.14271706364116,14.438993828686616,0,0
8,10.341505920619056,4.011857176615976,29.29437685903329,14.518680092117087,0,0
9,10.359191703736656,4.008221631127662,29.454096822055806,14.595428727190704,0,0
10,10.394449446572862,4.000908419870919,29.829230696017472,14.761649516374895,0,0
11,10.450881615131184,3.9870361648254975,30.31654866948428,15.001319906025689,0,0
12,10.408898561104351,3.989134634681564,29.75194910885013,14.775859351004884,0,0
13,10.446418973830523,3.9873993810673625,30.23971131106145,14.973435304621534,0,0
14,10.480227873836922,3.979890428052968,30.573527553988328,15.126785265920873,0,0
15,10.507680618488154,3.9741795985474577,30.864754721310486,15.256008453888311,0,0
16,10.342556472085649,4.017809251228939,29.59742699603623,14.591701591965787,0,0
17,10.30766556404811,4.0261381512530585,29.28318120043405,14.4404989609935,0,0
18,10.37453980445341,4.010174426206826,29.885485642005072,14.730304003690474,0,0
19,10.435598893519106,3.9955988511646168,30.43541578430897,14.994908607892034,0,0
20,10.294682751329988,4.029939385023255,29.202895661055713,14.392782246911473,0,0
21,10.334441411852085,4.023958853801877,29.74420535097177,14.607806569418653,0,0
22,10.390483779780627,4.0080533722227365,30.11703217156049,14.819907441706393,0,0
23,10.375147471229225,4.014241803773738,30.11082544584105,14.784209638886368,0,0
24,10.481969009585397,3.835824552865172,28.99055662378406,14.581892521366846,0,0
25,10.575839850401733,3.9567390088983054,31.41755834774393,15.537139818654751,0,0
26,10.53142735726716,3.971880900584911,31.25452376144753,15.399934716026573,0,0
27,10.299550503814553,4.032287753825996,29.42995955536961,14.456603938446364,0,0
28,10.466432271439867,3.9903447524269686,30.823050757378926,15.154163727590758,0,0
29,10.259791843292453,4.038268285047372,28.88864986545353,14.24157961593918,0,0
30,10.494629217526398,3.9825606767656483,31.02204051534656,15.263539456456714,0,0
31,10.26378078516561,4.039773328208884,29.05283202139989,14.288774843863134,0,0
32,10.405373182374165,4.0049203274691765,30.273120615075012,14.8895591233892,0,0
33,10.51471110337937,3.9809262036772655,31.36780862824974,15.389020162775529,0,0
34,10.360812148472217,4.019067971306081,30.055002965618844,14.739177087713273,0,0
35,10.273584878378347,4.039890221366378,29.269388476613198,14.36117051028244,0,0
36,10.244914232864273,4.049542556431084,29.15774351616857,14.271105407936089,0,0
37,10.408195963797466,3.8240430630526565,28.18425572974709,14.186713110585947,0,0
38,10.258302156766284,4.048452907705489,29.38825559143763,14.354759212148759,0,0
39,10.490300543574056,3.988859529977794,31.257887758282948,15.308871116768193,0,0
40,10.241261813931386,4.055328942762157,29.38135922952713,14.315094986793172,0,0
41,10.232741642513936,4.05876696029049,29.37791104857187,14.295262874115384,0,0
42,10.271690080668254,4.047363258979904,29.61876766670628,14.438413016361235,0,0
43,10.433278269227161,3.852532012004744,27.990193051480183,14.089042100442235,0,0
44,10.519845163224932,3.8657222988943385,29.91865382408485,14.926926678552912,0,0
45,10.46764760499151,3.998479507560782,31.273730365050678,15.261974997982506,0,0
46,10.382449099956077,4.017764356977836,30.451421287311568,14.879942176188667,0,0
47,10.285636637017582,4.0424543767575125,29.66192759473126,14.479624471995315,0,0
48,10.320172751855324,4.033262372405991,29.92350789824782,14.617753318604956,0,0
49,10.337414366626595,4.033780260218126,30.320648435378818,14.748870767032454,0,0
50,10.337414366626595,4.033780260218126,30.320648435378818,14.748870767032454,0,0
51,10.35871479517018,4.0251852163973,30.32926888776661,14.798451048726768,0,0
52,10.389345617499,4.018575325137348,30.64179059289123,14.9397376233602,0,0
53,10.372305274664132,4.025451360194008,30.634894230981,14.900073398004745,0,0
54,10.481268240884722,3.8840669500111726,30.02530918249339,14.866337532410386,0,0
55,10.431397250347203,4.0030443845057855,30.733840514351865,15.055116839519256,0,0
56,10.22868411239717,4.061841761576952,29.451300226039447,14.30331536284179,0,0
57,10.460601340001773,3.859528493180752,29.341587216245948,14.629049891161404,0,0
58,10.504534397034062,3.8993496437394883,30.52895733346703,15.05990881847671,0,0
59,10.44184402402887,4.007166609119011,31.173249900650873,15.180916405870937,0,0
60,10.417802113722852,3.855388029592976,28.88482352558705,14.397982577664466,0,0
61,10.561184707933489,3.9462658480223176,28.38422562333769,14.230472232400247,0,0
