ton/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane
0,9.599536246859767,8.405229405328488,20.507158414011947,15.472100011990232,0,0
1,10.108467646751881,8.36694519346276,20.48559178502752,15.535529852794545,0,0
2,10.18293837961847,8.270605500079036,20.674972032292107,15.676012807686705,0,0
3,10.164364501530187,8.173474122075914,20.82496822799082,15.767022580630545,0,0
4,10.307605983849,8.11853914510133,20.08554492428012,15.171043452666376,0,0
5,10.307605983849,8.11853914510133,20.08554492428012,15.171043452666376,0,0
6,10.624873102264312,8.467518282954611,19.991643625453825,15.254431018046494,0,0
7,10.646180833869645,8.41790998328487,19.891938857842806,15.162037822745905,0,0
8,10.609835466620524,8.380982795207816,19.955814350269822,15.196912114842501,0,0
9,10.572648601817566,8.34018678860556,19.93262379863901,15.159145461057134,0,0
10,10.502060186153043,8.244285351258888,19.7452962601769,14.964593135305753,0,0
11,10.37360539138022,8.117744285071064,19.701159937215067,14.867837529627328,0,0
12,10.42561652938786,8.256057571700758,20.142183183687433,15.279364103052664,0,0
13,10.378523822600856,8.13687868050025,19.79123337423868,14.948169777988149,0,0
14,10.3072924874959,8.051091020013725,19.670159277494253,14.810765742502177,0,0
15,10.252212092629597,7.97662502477869,19.52625224555106,14.660919871424953,0,0
16,10.649776019582577,8.309096490034946,19.29687055708811,14.643072884010033,0,0
17,10.727425931269243,8.39041973327705,19.35342672684823,14.727463157237606,0,0
18,10.57859693386976,8.234550183729638,19.24502740147464,14.565715133551375,0,0
19,10.442709588418074,8.092234508055935,19.14605410439441,14.418032155403097,0,0
20,10.761332455891953,8.411946959468931,19.291631374704696,14.689326045490587,0,0
21,10.697915343945457,8.275613360701731,18.812986104705235,14.245469667071507,0,0
22,10.555145212187243,8.176429148213192,19.020367727153413,14.360259196500799,0,0
23,10.607323780311,8.180736243585926,18.747003906651766,14.147014348305989,0,0
24,9.067556234463405,8.343685593252138,17.70855765439874,13.411293291727713,0,0
25,10.092168002676182,7.8323153234694205,19.55383627277686,14.611961360033273,0,0
26,10.223426961991512,7.87935837716895,19.090129336518945,14.269699061076606,0,0
27,10.775565255632117,8.356936603943835,18.86954227446536,14.32985994029909,0,0
28,10.389129338912854,7.994169700147222,18.84755570844285,14.134840273706265,0,0
29,10.838982367578616,8.49327020271104,19.348187544464817,14.773716318718154,0,0
30,10.318857074057158,7.9415480500489775,18.926109694218503,14.170948373020241,0,0
31,10.847651162201927,8.453407566456113,19.0517825714682,14.520683540530523,0,0
32,10.525016684364537,8.136485375820932,18.94652900552308,14.282523251854546,0,0
33,10.296724133564352,7.8554432706175135,18.52077922761127,13.809453255395699,0,0
34,10.64925352566077,8.196682948222218,18.604561145777897,14.042610033735983,0,0
35,10.843378304877481,8.39999105632753,18.745951570178235,14.253585716804972,0,0
36,10.92723779557719,8.43188446560017,18.461066048429977,14.044777087664555,0,0
37,8.972273206540883,8.529539987206201,16.833620072232538,12.813661253010588,0,0
38,10.912482501915244,8.374481279312459,18.190845737358433,13.803780342581456,0,0
39,10.366089577562926,7.8861402645087875,18.311828100446967,13.659879306309493,0,0
40,10.970458688719424,8.37926694083772,17.887108159023253,13.566841622364993,0,0
41,10.999446782121513,8.381659771600349,17.73523936985566,13.44837226225677,0,0
42,10.897727208253407,8.317078093024854,17.920625426286975,13.56278359749846,0,0
43,8.983274635990146,8.58869726044187,16.589234453652452,12.636958041214125,0,0
44,9.312795904736461,8.136185181742063,17.685735603626554,13.291048713771243,0,0
45,10.446583031795274,7.886541819859843,17.851508718797714,13.297438703216018,0,0
46,10.628672979921156,8.09822071029835,18.113870256293694,13.607815190519519,0,0
47,10.855409364215213,8.304220753011618,18.084408292880493,13.685512843466752,0,0
48,10.771781224027317,8.235513916572112,18.140260885516533,13.695857686127072,0,0
49,10.766497047061419,8.137690041873935,17.565570860575225,13.19520144257394,0,0
50,10.766497047061419,8.137690041873935,17.565570860575225,13.19520144257394,0,0
51,10.694026813556285,8.131707964967447,17.94524283349427,13.4913748428446,0,0
52,10.630870948570651,8.051581137106641,17.812752269150337,13.347749889562893,0,0
53,10.68884713537476,8.05636679863183,17.509014690815107,13.110811169346366,0,0
54,9.464694403575571,8.118206117692477,16.743199614228075,12.53970686822829,0,0
55,10.498063869987947,8.021890135371747,18.392688196101037,13.790076582855734,0,0
56,11.023516444302883,8.364918206933787,17.493297143664858,13.249570653788039,0,0
57,9.263174817438603,8.270081195435008,16.918443244784857,12.752606305972895,0,0
58,9.589962456820935,8.005231788596706,16.790192177777325,12.521045783140552,0,0
59,10.522056573424956,7.915245888205132,17.595111749224035,13.109510936989405,0,0
60,9.219539892002118,8.376462591382008,16.35481215511163,12.360406320485694,0,0
61,9.17349046936256,8.537936835348509,16.506653768364696,12.512263823374006,0,0
62,9.088662732566213,8.483566652808285,16.532520540304024,12.547749121125396,0,0
63,10.453568808184897,7.8309332566441,17.46738681585049,12.967589938051743,0,0
64,10.89727935632042,8.220723628613978,17.327217359449936,13.048101154406659,0,0
